Date,Open,High,Low,Close,Adj Close,Volume,,,,,,
2/18/2020,9977.400391,10041.5,9967.799805,10005.79981,10005.79981,184042000,,2020-02-18 00:00:00+00:00,.IBEX,9977.400391,10005.79981,0.002656949
2/19/2020,10042,10100.2002,10020.7002,10083.59961,10083.59961,151866100,,2020-02-19 00:00:00+00:00,.IBEX,10042,10083.59961,0.002850142
2/20/2020,10048.7002,10050.29981,9931,9931,9931,178849000,,2020-02-20 00:00:00+00:00,.IBEX,10048.7002,9931,0.004306909
2/21/2020,9893,9946.400391,9843.5,9886.200195,9886.200195,194954500,,2020-02-21 00:00:00+00:00,.IBEX,9893,9886.200195,0.003750782
2/24/2020,9649.799805,9676.799805,9459.599609,9483.5,9483.5,256063800,,2020-02-24 00:00:00+00:00,.IBEX,9649.799805,9483.5,0.008187724
2/25/2020,9507,9518.900391,9248,9250.799805,9250.799805,263346200,,2020-02-25 00:00:00+00:00,.IBEX,9507,9250.799805,0.010413382
2/26/2020,9213,9362.799805,9030.700195,9316.799805,9316.799805,299256300,,2020-02-26 00:00:00+00:00,.IBEX,9213,9316.799805,0.01302554
2/27/2020,9182.200195,9204.400391,8877.400391,8985.900391,8985.900391,341792600,,2020-02-27 00:00:00+00:00,.IBEX,9182.200195,8985.900391,0.013046619
2/28/2020,8748.099609,8818.599609,8582.700195,8723.200195,8723.200195,497983900,,2020-02-28 00:00:00+00:00,.IBEX,8748.099609,8723.200195,0.009779493
3/2/2020,8910.200195,8913.5,8541.099609,8741.5,8741.5,355485000,,2020-03-02 00:00:00+00:00,.IBEX,8910.200195,8741.5,0.015392554
3/3/2020,8860.200195,9014.299805,8776.400391,8811.599609,8811.599609,351219900,,2020-03-03 00:00:00+00:00,.IBEX,8860.200195,8811.599609,0.009646522
3/4/2020,8827.799805,8963.700195,8745.900391,8910,8910,321258300,,2020-03-04 00:00:00+00:00,.IBEX,8827.799805,8910,0.00887187
3/5/2020,8960.799805,8962.5,8639.900391,8683,8683,342803500,,2020-03-05 00:00:00+00:00,.IBEX,8960.799805,8683,0.013221634
3/6/2020,8532.599609,8542,8310.400391,8375.599609,8375.599609,345901100,,2020-03-06 00:00:00+00:00,.IBEX,8532.599609,8375.599609,0.009913978
3/9/2020,7884,8022.899902,7621.399902,7708.700195,7708.700195,598769200,,2020-03-09 00:00:00+00:00,.IBEX,7884,7708.700195,0.018516945
3/10/2020,7815.600098,8007.700195,7440.600098,7461.5,7461.5,506034000,,2020-03-10 00:00:00+00:00,.IBEX,7815.600098,7461.5,0.026492245
3/11/2020,7589.299805,7717.100098,7364.600098,7436.399902,7436.399902,369150100,,2020-03-11 00:00:00+00:00,.IBEX,7589.299805,7436.399902,0.016862908
3/12/2020,7040.799805,7077.700195,6347,6390.899902,6390.899902,723609100,,2020-03-12 00:00:00+00:00,.IBEX,7040.799805,6390.899902,0.039301452
3/13/2020,6763.700195,7140.5,6468.299805,6629.600098,6629.600098,473165800,,2020-03-13 00:00:00+00:00,.IBEX,6763.700195,6629.600098,0.035659638
3/16/2020,6331,6362.5,5814.5,6107.200195,6107.200195,583614700,,2020-03-16 00:00:00+00:00,.IBEX,6331,6107.200195,0.032484654
3/17/2020,6444.5,6557.299805,6083,6498.5,6498.5,388451800,,2020-03-17 00:00:00+00:00,.IBEX,6444.5,6498.5,0.027079713
3/18/2020,6370.5,6524.200195,6174.100098,6274.799805,6274.799805,398609500,,2020-03-18 00:00:00+00:00,.IBEX,6370.5,6274.799805,0.019893045
3/19/2020,6368.200195,6506.399902,6228.299805,6395.799805,6395.799805,346225500,,2020-03-19 00:00:00+00:00,.IBEX,6368.200195,6395.799805,0.015755276
3/20/2020,6645.399902,6769.899902,6371.100098,6443.299805,6443.299805,486796200,,2020-03-20 00:00:00+00:00,.IBEX,6645.399902,6443.299805,0.021898
3/23/2020,6223.700195,6472,6148,6230.200195,6230.200195,282033200,,2020-03-23 00:00:00+00:00,.IBEX,6223.700195,6230.200195,0.018523611
3/24/2020,6433.299805,6717.299805,6403.600098,6717.299805,6717.299805,301211900,,2020-03-24 00:00:00+00:00,.IBEX,6433.299805,6717.299805,0.017249551
3/25/2020,6985.899902,7058.100098,6625.799805,6942.399902,6942.399902,322631900,,2020-03-25 00:00:00+00:00,.IBEX,6985.899902,6942.399902,0.022796319
3/26/2020,6789,7033.200195,6759.100098,7033.200195,7033.200195,248806600,,2020-03-26 00:00:00+00:00,.IBEX,6789,7033.200195,0.014337526
3/27/2020,6916.700195,6936.700195,6661.899902,6777.899902,6777.899902,225316500,,2020-03-27 00:00:00+00:00,.IBEX,6916.700195,6777.899902,0.014578964
3/30/2020,6748.600098,6789.100098,6507,6659.899902,6659.899902,232005200,,2020-03-30 00:00:00+00:00,.IBEX,6748.600098,6659.899902,0.015306951
3/31/2020,6746.799805,6802,6624.700195,6785.399902,6785.399902,258181200,,2020-03-31 00:00:00+00:00,.IBEX,6746.799805,6785.399902,0.00952596
4/1/2020,6627.299805,6687.799805,6565.200195,6579.399902,6579.399902,235113700,,2020-04-01 00:00:00+00:00,.IBEX,6627.299805,6579.399902,0.006673164
4/2/2020,6633.700195,6658.899902,6424.5,6574.100098,6574.100098,233309800,,2020-04-02 00:00:00+00:00,.IBEX,6633.700195,6574.100098,0.012924919
4/3/2020,6563.600098,6632.5,6509.399902,6581.600098,6581.600098,215387500,,2020-04-03 00:00:00+00:00,.IBEX,6563.600098,6581.600098,0.006757056
4/6/2020,6807.899902,6874.899902,6728.600098,6844.299805,6844.299805,225965400,,2020-04-06 00:00:00+00:00,.IBEX,6807.899902,6844.299805,0.007758082
4/7/2020,6986.899902,7119.100098,6903.600098,7002,7002,260857500,,2020-04-07 00:00:00+00:00,.IBEX,6986.899902,7002,0.011086497
4/8/2020,6930.200195,6952.5,6860.600098,6951.799805,6951.799805,155910100,,2020-04-08 00:00:00+00:00,.IBEX,6930.200195,6951.799805,0.004799266
4/9/2020,7049.299805,7116.799805,6918.700195,7070.600098,7070.600098,240348600,,2020-04-09 00:00:00+00:00,.IBEX,7049.299805,7070.600098,0.010181907
