"rv.BFX","rv.BSESN","rv.BVLG","rv.FCHI","rv.FTMIB","rv.NSEI","rv.OMXC20","rv.OMXHPI","rv.OMXSPI","rv.OSEAX","rv.SMSI"
4.13e-05,9.27e-05,1.33e-05,2.17e-05,2.35e-05,8.17e-05,5.57e-05,2.23e-05,3.18e-05,2.96e-05,2.5e-05
4.65e-05,7.73e-05,1.48e-05,3.06e-05,2.65e-05,6.91e-05,7.03e-05,3.48e-05,3.53e-05,3.45e-05,2.3e-05
3.26e-05,4.39e-05,2.2e-05,3.19e-05,3.49e-05,5.05e-05,6.35e-05,1.76e-05,3.39e-05,2.37e-05,2.6e-05
4.37e-05,2.54e-05,1.74e-05,3.86e-05,2.37e-05,2.35e-05,4.7e-05,1.77e-05,2.09e-05,2.24e-05,2.28e-05
3.21e-05,2.97e-05,9.71e-06,1.82e-05,1.23e-05,2.57e-05,8.93e-05,1.69e-05,1.69e-05,1.83e-05,2.75e-05
0.000150183,3.34e-05,1.73e-05,2.96e-05,2.34e-05,3.04e-05,0.000103607,3.87e-05,6.12e-05,3.38e-05,2.16e-05
2.94e-05,2.33e-05,1.37e-05,2.02e-05,2.76e-05,1.98e-05,7.74e-05,1.1e-05,1.59e-05,4.58e-05,1.88e-05
2.1e-05,1.27e-05,1.87e-05,2.28e-05,2.38e-05,1.19e-05,5.14e-05,2.04e-05,4.83e-05,5.57e-05,2.13e-05
5.78e-05,1.68e-05,1.51e-05,8e-05,3.86e-05,1.65e-05,4.74e-05,9.79e-05,4.36e-05,7.86e-05,4.4e-05
7.13e-05,4.26e-05,1.88e-05,5.14e-05,6.88e-05,4.26e-05,6.32e-05,3.91e-05,2.76e-05,2.25e-05,4.31e-05
3.8e-05,6.16e-05,1.43e-05,2.46e-05,4.36e-05,5.77e-05,3.74e-05,2.13e-05,2.91e-05,1.01e-05,3.5e-05
3.48e-05,5e-05,1.2e-05,4.07e-05,2.83e-05,4.56e-05,3.13e-05,3.74e-05,3.18e-05,4.99e-05,3.41e-05
4.04e-05,5.12e-05,2.29e-05,1.96e-05,1.95e-05,5.24e-05,0.000126506,3.1e-05,2.27e-05,2.02e-05,3.19e-05
0.000228315,5.47e-05,6.76e-05,0.000167831,0.000205072,5.81e-05,7.39e-05,0.000129325,4.9e-05,5.85e-05,0.000168546
2.41e-05,4.84e-05,1.54e-05,2.88e-05,2.52e-05,4.98e-05,3.07e-05,3.86e-05,1.72e-05,1.97e-05,3.68e-05
2.61e-05,6.63e-05,1.18e-05,3.25e-05,2.35e-05,5.7e-05,3.41e-05,1.24e-05,1.95e-05,1.97e-05,3.07e-05
5.51e-05,5.79e-05,2.05e-05,4.89e-05,4.3e-05,5.92e-05,6.55e-05,2.17e-05,3.57e-05,3.38e-05,5.51e-05
5.03e-05,5.79e-05,2.25e-05,2.66e-05,5.07e-05,5.83e-05,8.02e-05,2.2e-05,1.99e-05,7.66e-05,3.3e-05
6.12e-05,7.06e-05,4.15e-05,6.1e-05,9.05e-05,6.39e-05,5.63e-05,4.19e-05,5.66e-05,6.78e-05,7.47e-05
0.0001506,0.000164378,5.14e-05,0.000144412,0.000123017,0.000147032,0.000122437,8.71e-05,8.76e-05,0.000181776,9.24e-05
0.000100112,0,3.59e-05,0.000110708,7.99e-05,8.23e-05,0.000122437,6.09e-05,7.39e-05,0.000138545,7.94e-05
7.64e-05,8.77e-05,3.52e-05,7.99e-05,6.67e-05,9.01e-05,0.000129363,5.36e-05,7.5e-05,6.95e-05,6.52e-05
0.000136391,0.000102764,5.16e-05,0.000107059,0.000106486,8.96e-05,0.00013059,4.95e-05,5.34e-05,7.25e-05,9.16e-05
8.77e-05,6.93e-05,3.18e-05,5.67e-05,8.86e-05,6.57e-05,0.000202387,0.000102603,0.000102059,0.000216772,6.03e-05
5.6e-05,4.48e-05,2.88e-05,3.29e-05,5.68e-05,4.49e-05,0.000137595,3.99e-05,3.76e-05,5.87e-05,5.68e-05
0.000137037,4.48e-05,2.97e-05,0.000120604,8.01e-05,4.49e-05,0.000117105,4.11e-05,5.45e-05,6.23e-05,5.71e-05
0.000210429,0.000108352,8.17e-05,0.000236038,0.000160474,9.95e-05,0.000107791,8.48e-05,0.000107752,0.000118164,0.000162833
7.18e-05,8.95e-05,4.56e-05,8.39e-05,7.62e-05,9.36e-05,7.03e-05,5.97e-05,5.68e-05,7.66e-05,6.36e-05
0.000243146,8.95e-05,8.22e-05,0.000233627,7.62e-05,9.36e-05,0.000165207,0.000149162,0.000172409,0.000195097,0.000188306
0.000108804,9.36e-05,5.73e-05,7.56e-05,6.17e-05,9.03e-05,8.34e-05,3.94e-05,5.11e-05,9.17e-05,6.95e-05
6.97e-05,3.94e-05,4.07e-05,4.88e-05,3.19e-05,3.64e-05,4.84e-05,8.12e-05,7.44e-05,0.000186836,6.35e-05
7.29e-05,5.75e-05,4.28e-05,5.86e-05,7.23e-05,5.35e-05,5.29e-05,4.96e-05,5.35e-05,7.8e-05,6.1e-05
3.32e-05,3.68e-05,1.26e-05,4e-05,2.24e-05,3.86e-05,3.64e-05,2.56e-05,3.05e-05,5.09e-05,3.51e-05
8.78e-05,6.11e-05,2.13e-05,7.76e-05,3.94e-05,5.98e-05,5.6e-05,4.84e-05,4.53e-05,6.69e-05,6.16e-05
0.000160672,0.000118138,7.13e-05,0.000228776,0.000183859,0.000106124,7.74e-05,0.000104682,0.000115272,9.4e-05,0.000112881
0.000112738,0.000179782,3.53e-05,8.36e-05,8.29e-05,0.000172942,0.000236451,7.46e-05,8.15e-05,0.000196074,5.65e-05
6.02e-05,7.22e-05,2.04e-05,4.72e-05,7.3e-05,7.54e-05,4.5e-05,2.56e-05,2.48e-05,2.95e-05,3.46e-05
6.68e-05,4.64e-05,3.62e-05,7.13e-05,8.07e-05,5.01e-05,5.02e-05,5.7e-05,6.33e-05,3.9e-05,4.75e-05
7.16e-05,7.74e-05,3.29e-05,8.27e-05,4.96e-05,8.52e-05,6.72e-05,3.78e-05,4.43e-05,3.61e-05,4.87e-05
3.87e-05,9e-05,3.28e-05,4.36e-05,3.47e-05,9.21e-05,9.38e-05,2.81e-05,3.38e-05,5.12e-05,2.12e-05
2.54e-05,9e-05,3.1e-05,9.51e-06,2.4e-05,9.21e-05,5.38e-05,1.69e-05,2.5e-05,1.57e-05,2.04e-05
5.7e-05,6.45e-05,1.28e-05,7.14e-05,6.85e-05,5.68e-05,4.7e-05,4.13e-05,5.58e-05,5.23e-05,4.88e-05
1.97e-05,7.33e-05,2.02e-05,1.96e-05,1.46e-05,7.5e-05,0.000111841,1.51e-05,1.39e-05,6.93e-05,1.67e-05
4.56e-05,5.18e-05,3.26e-05,3e-05,2.35e-05,5.68e-05,5.88e-05,0.000115453,6.58e-05,0.000393476,3.73e-05
3.38e-05,2.66e-05,1.87e-05,2.46e-05,2.17e-05,2.84e-05,7.01e-05,3.13e-05,2.12e-05,0.000129684,3.66e-05
2.54e-05,5.85e-05,1.7e-05,1.42e-05,1.29e-05,5.29e-05,4.17e-05,1.63e-05,1.42e-05,4.42e-05,1.45e-05
4.77e-05,5.85e-05,2.58e-05,3.99e-05,5.77e-05,5.29e-05,0.000181337,3.68e-05,3.54e-05,2.44e-05,5.79e-05
3.75e-05,1.96e-05,2.29e-05,1.39e-05,3.07e-05,1.91e-05,7.94e-05,4.33e-05,1.77e-05,4.5e-05,4.66e-05
0.00019215,3.2e-05,6.04e-05,0.000147493,0.000130228,3.14e-05,0.000125006,5.75e-05,3.04e-05,5.71e-05,0.00015762
2.08e-05,4.37e-05,1.72e-05,2.09e-05,1.65e-05,4.53e-05,4.82e-05,1.37e-05,9.02e-06,2.56e-05,2.88e-05
3.35e-05,3.74e-05,1.55e-05,3.11e-05,3.6e-05,3.71e-05,0.000103128,2.79e-05,1.98e-05,0.000164646,3.64e-05
3.02e-05,5.18e-05,2.19e-05,2.35e-05,2.6e-05,4.46e-05,6.4e-05,4.67e-05,2.6e-05,7.98e-05,2.05e-05
1.82e-05,5.39e-05,2.17e-05,1.86e-05,2.12e-05,5.15e-05,3.61e-05,4.24e-05,1.56e-05,5.12e-05,2.85e-05
1.8e-05,4.54e-05,3.09e-05,1.78e-05,1.72e-05,4.84e-05,5.13e-05,5.46e-05,1.54e-05,3.47e-05,2.95e-05
3.14e-05,0.000477355,2.01e-05,3.59e-05,2.76e-05,0.000488752,9.14e-05,3e-05,2.16e-05,2.3e-05,3.09e-05
3.19e-05,0.000159423,1.92e-05,2.9e-05,1.42e-05,0.000137896,8.95e-05,3.61e-05,4.02e-05,2.55e-05,3.56e-05
6.46e-05,8.35e-05,1.52e-05,1.39e-05,1.67e-05,7.96e-05,3.38e-05,3.43e-05,1.66e-05,1.97e-05,3.05e-05
6.7e-05,7.92e-05,4.15e-05,4.38e-05,4.18e-05,6.33e-05,4.69e-05,3.65e-05,4.17e-05,8.43e-05,5.28e-05
3.91e-05,6.9e-05,1.73e-05,3.14e-05,2.62e-05,6.12e-05,2.64e-05,3.32e-05,3.29e-05,4.93e-05,2.91e-05
1.88e-05,5.78e-05,2.39e-05,2.1e-05,1.86e-05,4.72e-05,2.96e-05,1.91e-05,1.33e-05,8.56e-05,2.45e-05
2.82e-05,7.66e-05,2.75e-05,2.45e-05,1.69e-05,5.77e-05,3.35e-05,2.25e-05,1.25e-05,2.07e-05,2.83e-05
0.000111073,0.000175054,2.25e-05,5.51e-05,7.51e-05,0.000161994,7.64e-05,5.22e-05,5.66e-05,3.78e-05,5.74e-05
6.93e-05,0.000175054,3.01e-05,7.66e-05,6.45e-05,0.000161994,5.11e-05,6.15e-05,4.91e-05,0.00010837,8.22e-05
0.000134197,7.84e-05,6.74e-05,0.000187897,0.000146818,8.57e-05,0.000113947,0.000124725,0.000138329,0.000184832,0.000120003
6.27e-05,7.51e-05,3.83e-05,6.4e-05,7.26e-05,7.57e-05,9.92e-05,4.33e-05,6.93e-05,0.000125377,8.76e-05
4.92e-05,0.000107217,2.6e-05,2.5e-05,3.57e-05,9.14e-05,6.43e-05,3.83e-05,2.83e-05,5.46e-05,4.64e-05
7.14e-05,0.000107217,2.79e-05,7.27e-05,5.48e-05,9.14e-05,6.2e-05,7.08e-05,4.98e-05,3.69e-05,6.58e-05
7.09e-05,5.62e-05,2.48e-05,6.66e-05,6.36e-05,5.57e-05,5.45e-05,5.39e-05,5.71e-05,5.93e-05,5.91e-05
6.41e-05,5.26e-05,2.76e-05,9.33e-05,5.43e-05,4.81e-05,0.000109168,3.84e-05,7e-05,4.85e-05,5.83e-05
3.5e-05,0.000157094,2.74e-05,4.47e-05,2.81e-05,0.000149058,4.22e-05,2.96e-05,2.7e-05,8.4e-05,4e-05
5.85e-05,6.25e-05,2.43e-05,5.12e-05,2.77e-05,5.87e-05,6.43e-05,5.64e-05,3.87e-05,5.3e-05,3.42e-05
0.000104091,2.56e-05,1.61e-05,4.95e-05,3.45e-05,2.69e-05,7.44e-05,2.61e-05,4.24e-05,3.89e-05,5.71e-05
5.75e-05,3.25e-05,2.78e-05,4.95e-05,3.92e-05,2.9e-05,4.61e-05,3.86e-05,4.1e-05,4.64e-05,9.73e-05
7.51e-05,3.27e-05,2.68e-05,7.45e-05,6.4e-05,2.78e-05,8.26e-05,6.54e-05,2.58e-05,5.47e-05,7.22e-05
4.43e-05,5.21e-05,1.75e-05,5.15e-05,3.37e-05,4.12e-05,4.74e-05,2.73e-05,2.87e-05,3.32e-05,5.13e-05
4.39e-05,5.21e-05,1.62e-05,3.04e-05,1.7e-05,4.12e-05,6.58e-05,1.71e-05,3.72e-05,3.04e-05,2.45e-05
3.29e-05,6.23e-05,1.62e-05,2.71e-05,1.8e-05,5.65e-05,4.14e-05,2.56e-05,3.2e-05,2.57e-05,2.95e-05
6.6e-05,4.89e-05,2.69e-05,7.34e-05,2.72e-05,4.47e-05,7e-05,6.58e-05,4.35e-05,3.08e-05,4.32e-05
4.34e-05,6.29e-05,3.55e-05,3.04e-05,2.67e-05,5.51e-05,4.52e-05,0.000473225,3.46e-05,0.000159659,4.27e-05
0.000239883,8.11e-05,1.99e-05,3.27e-05,1.63e-05,7.73e-05,4.61e-05,5.07e-05,2.5e-05,2.37e-05,2.21e-05
0.000239883,8.11e-05,1.99e-05,3.27e-05,1.63e-05,1.07e-05,4.61e-05,5.07e-05,2.5e-05,2.37e-05,2.21e-05
1.96e-05,8.11e-05,1.79e-05,1.35e-05,1.05e-05,1.07e-05,4.52e-05,1.85e-05,1.06e-05,5.54e-05,1.76e-05
2.39e-05,2.97e-05,1.63e-05,1.81e-05,1.28e-05,3.15e-05,4.89e-05,0.000149829,4.95e-05,5.6e-05,2.22e-05
2.93e-05,3.83e-05,2.17e-05,2.07e-05,2.39e-05,4.39e-05,3.54e-05,3.89e-05,2.02e-05,2.72e-05,4.62e-05
7.15e-05,4.28e-05,3.11e-05,5.98e-05,5.38e-05,3.34e-05,5.23e-05,4.43e-05,5.33e-05,5.09e-05,6.48e-05
3.04e-05,3.48e-05,2.68e-05,2.82e-05,3.21e-05,3.25e-05,0.00022293,4.94e-05,4.01e-06,3.02e-05,4.43e-05
3.23e-05,3.94e-05,2.09e-05,2.62e-05,1.6e-05,3.33e-05,6.86e-05,1.89e-05,1.74e-05,2.53e-05,1.48e-05
2.87e-05,2.95e-05,9.87e-06,1.44e-05,1.87e-05,2.76e-05,0.000100742,1.9e-05,2.26e-05,1.7e-05,2.82e-05
2.35e-05,6.81e-05,2.27e-05,1.13e-05,1.49e-05,4.7e-05,6.59e-05,1.85e-05,1.64e-05,2.22e-05,2.95e-05
4.05e-05,3.27e-05,1.48e-05,1.53e-05,1.85e-05,2.97e-05,9.78e-05,2.42e-05,2.33e-05,1.82e-05,2.46e-05
0.000125786,4.9e-05,1.93e-05,2.3e-05,2.51e-05,4.34e-05,4.4e-05,1.82e-05,1.64e-05,2.01e-05,2.83e-05
2.99e-05,2.86e-05,1.93e-05,1.55e-05,1.18e-05,3.13e-05,4.06e-05,1.21e-05,2.18e-05,2.11e-05,1.95e-05
2.11e-05,2.86e-05,6.32e-06,1.25e-05,1.99e-05,3.13e-05,2.71e-05,2.44e-05,1.9e-05,1.71e-05,2.46e-05
2.78e-05,3.03e-05,1.64e-05,2.4e-05,2.16e-05,2.77e-05,3.96e-05,1.91e-05,2.04e-05,5.83e-05,4.56e-05
3.34e-05,4.03e-05,9.13e-06,2.11e-05,2.38e-05,3.7e-05,4.17e-05,2.14e-05,2.54e-05,3.18e-05,3.45e-05
4.65e-05,3.92e-05,1.11e-05,4.66e-05,1.95e-05,4.02e-05,4.48e-05,5.11e-05,2.58e-05,4.2e-05,4.08e-05
4.78e-05,2.59e-05,1.43e-05,2.42e-05,2.32e-05,2.3e-05,4.64e-05,2.29e-05,2.58e-05,3.91e-05,2.83e-05
1.8e-05,2.44e-05,1.35e-05,1.71e-05,2.16e-05,1.93e-05,4.63e-05,1.9e-05,2.22e-05,2.83e-05,2.69e-05
5.38e-05,1.56e-05,1.46e-05,6.05e-05,2.78e-05,1.27e-05,0.000116231,2.74e-05,2.06e-05,5.8e-05,3.29e-05
5.79e-05,2.3e-05,2.02e-05,8.09e-05,3.39e-05,2.11e-05,0.000112755,4.11e-05,5.19e-05,3.67e-05,3.81e-05
4.19e-05,2.29e-05,1.61e-05,3.44e-05,2.84e-05,2.21e-05,6.24e-05,2.7e-05,2.46e-05,4.31e-05,3.24e-05
1.65e-05,2.3e-05,1.61e-05,1.28e-05,1.24e-05,0,5.83e-05,1.68e-05,1.2e-05,1.84e-05,1.36e-05
2.11e-05,3.62e-05,1.53e-05,9.1e-06,2.27e-05,3.73e-05,3.67e-05,1.33e-05,1.42e-05,2.25e-05,1.91e-05
1.94e-05,1.62e-05,1.29e-05,1.81e-05,1.15e-05,1.8e-05,2.99e-05,1.76e-05,2.9e-05,1.38e-05,1.35e-05
2.1e-05,1.89e-05,2.03e-05,8.27e-06,1.82e-05,1.57e-05,1.34e-05,1.25e-05,1.06e-05,1.3e-05,1.04e-05
